"Amount","Suma"
"An error occurred while processing CardCadou.","A apărut o eroare la procesarea cardului cadou."
"An error occurred while removing the coupon.","A aparut o eroare la eliminarea cuponului."
"API authentication failed.","Autentificarea a eșuat. Verificați PARTNERCODE."
"API Invalid data.","Format invalid al mesajului. Verificați daca datele sunt structurate într-un array encodat JSON si corespunde specifiicatiilor documentatiei API."
"API invalid hash code.","Nu s-a putut verifica autenticitatea mesajului. Verificați HASHCODE și/sau CODUL SECRET utilizat la calcularea HASHCODE"
"API Reference","API Reference"
"API request limit exceeded.","A fost atinsă limita de cereri per interval. Serverul va prelua request-urile dumneavoastră imediat dupa intervalul curent. Contactati Gift Card Online pentru analizarea cauzelor acestei erori."
"API server not responding.","Serverul este momentan indisponibil din motive tehnice sau este in perioada de mentenanță. Incercați mai tarziu."  
"Card amount is not correct.","Suma utilizată nu corespunde cu valoarea cardului."
"Card is already used.","Card folosit."
"Card is expired.","Card expirat."
"Card is not valid.","Card inexistent / Serie card sau pin incorect."
"Card Number","Numarul Cardului"
"Card Series","Serie Card"
"CardCadou","Card Cadou"
"Cancel Deny Code","Anulare Cod De Respingere"
"Cancel Status","Status Anulare"
"Confirmation Status","Status de confirmare"
"Coupon code is not valid.","Cuponul introdus nu este valid."
"Deny Code","Codul De Respingere"
"Internal error.","Eroare Interna."
"Last UUID","Ultimul UUID"
"Order confirmed/canceled already.","Comandă deja confirmată / anulată."
"Order Deny Code","Codul de respingere comanda"
"Order Id","Id Comanda"
"Order reference number incorrect.","Număr referintă comandă incorect."
"Order Status","Status Comanda"
"Remove Card","Sterge Cardul"
"The coupon can not be applied. The value of the coupon is greater than the total order amount.","Cuponul nu poate fi aplicat. Valoarea cuponului este mai mare decât suma totală a comenzii."
"The coupon has been successfully applied.","Cuponul a fost aplicat cu succes."
"The coupon has been successfully removed.","Cuponul a fost eliminat cu succes."
"Updated At","Actualizat la"

